lng;lat
-78.847;-2.752
-78.846;-2.739
-78.847;-2.738
-78.846;-2.749
-78.864;-2.8
-78.844;-2.818
-78.822;-2.805
-78.822;-2.804
-78.848;-2.738
-78.847;-2.736
-78.849;-2.741
-78.847;-2.749
-78.848;-2.742
-78.848;-2.751
-78.848;-2.751
-78.841;-2.721
-78.847;-2.739
-78.846;-2.738
-78.849;-2.737
-78.847;-2.738
-78.846;-2.74
-78.868;-2.798
-78.846;-2.736
-78.847;-2.737
-78.847;-2.739
-78.847;-2.74
-78.846;-2.737
-78.847;-2.742
-78.847;-2.74
-78.848;-2.751
-78.868;-2.798
-78.884;-2.759
-78.884;-2.759
-78.651;-2.578
-78.851;-2.777
-78.869;-2.798
-78.849;-2.749
-78.877;-2.796
-78.85;-2.744
-78.846;-2.741
-78.848;-2.737
-78.871;-2.802
-78.847;-2.74
-78.846;-2.741
-78.857;-2.771
-78.851;-2.774
-78.846;-2.756
-78.847;-2.748
-78.853;-2.733
-78.854;-2.736
-78.811;-2.743
-78.801;-2.74
-78.858;-2.711
-78.56;-2.597
-78.488;-2.42
-78.488;-2.424
-78.487;-2.424
-78.884;-2.759
-78.907;-2.814
-78.874;-2.737
-78.846;-2.744
-78.853;-2.746
-78.846;-2.744
-78.852;-2.736
-78.845;-2.753
-78.845;-2.753
-78.846;-2.765
-78.853;-2.759
-78.851;-2.714
-78.841;-2.727
-78.848;-2.752
-78.853;-2.756
-78.85;-2.714
-78.845;-2.758
-78.848;-2.755
-78.855;-2.732
-78.847;-2.735
-78.848;-2.735
-78.846;-2.743
-78.848;-2.747
-78.856;-2.744
-78.852;-2.733
-78.85;-2.746
-78.696;-2.639
-78.681;-2.626
-78.633;-2.617
-78.848;-2.739
-78.848;-2.735
-78.845;-2.735
-78.848;-2.742
-78.846;-2.746
-78.848;-2.714
-78.848;-2.745
-78.707;-2.562
-78.828;-2.721
-78.838;-2.647
-78.851;-2.737
-78.847;-2.74
-78.847;-2.749
-78.846;-2.739
-78.846;-2.74
-78.845;-2.748
-78.846;-2.75
-78.848;-2.742
-78.848;-2.739
-78.848;-2.744
-78.848;-2.738
-78.846;-2.737
-78.849;-2.742
-78.847;-2.74
-78.847;-2.739
-78.848;-2.739
-78.847;-2.74
-78.848;-2.751
-78.85;-2.744
-78.85;-2.747
-78.848;-2.756
-78.847;-2.739
-78.846;-2.753
-78.846;-2.739
-78.846;-2.739
-78.846;-2.74
-78.847;-2.74
-78.877;-2.84
-78.869;-2.8
-78.848;-2.743
-78.846;-2.735
-78.847;-2.739
-78.85;-2.778
-78.85;-2.779
-78.839;-2.728
-78.849;-2.741
-78.848;-2.739
-78.847;-2.747
-78.848;-2.742
-78.848;-2.742
-78.848;-2.741
-78.851;-2.753
-78.848;-2.737
-78.846;-2.74
-78.85;-2.711
-78.84;-2.732
-78.839;-2.731
-78.84;-2.731
-78.839;-2.731
-78.839;-2.731
-78.878;-2.801
-78.824;-2.704
-78.84;-2.732
-78.847;-2.739
-78.831;-2.73
-78.862;-2.718
-78.874;-2.807
-78.868;-2.797
-78.845;-2.752
-78.848;-2.743
-78.848;-2.738
-78.846;-2.742
-78.846;-2.742
-78.847;-2.738
-78.848;-2.737
-78.848;-2.738
-78.847;-2.739
-78.846;-2.74
-78.846;-2.741
-78.846;-2.741
-78.846;-2.741
-78.846;-2.741
-78.846;-2.741
-78.849;-2.737
-78.849;-2.737
-78.844;-2.731
-78.839;-2.735
-78.846;-2.753
-78.782;-2.67
-78.84;-2.735
-78.843;-2.733
-78.84;-2.735
-78.84;-2.735
-78.843;-2.733
-78.845;-2.728
-78.841;-2.728
-78.852;-2.73
-78.854;-2.738
-78.848;-2.742
-78.852;-2.741
-78.846;-2.753
-78.84;-2.74
-78.85;-2.74
-78.87;-2.799
-78.846;-2.741
-78.848;-2.739
-78.846;-2.741
-78.846;-2.741
-78.846;-2.742
-78.846;-2.739
-78.848;-2.721
-78.848;-2.737
-78.833;-2.732
-78.832;-2.731
-78.846;-2.737
-78.885;-2.754
-78.872;-2.797
-78.835;-2.817
-78.87;-2.732
-78.884;-2.76
-78.868;-2.799
-78.904;-2.806
-78.9;-2.831
-78.85;-2.82
-78.907;-2.791
-78.882;-2.819
-78.883;-2.82
-78.881;-2.821
-78.837;-2.786
-78.876;-2.736
-78.908;-2.815
-78.861;-2.799
-78.873;-2.757
-78.866;-2.787
-78.866;-2.787
-78.866;-2.787
-78.884;-2.758
-78.871;-2.803
-78.848;-2.794
-78.846;-2.799
-78.899;-2.752
-78.905;-2.774
-78.905;-2.774
-78.905;-2.775
-78.885;-2.778
-78.89;-2.803
-78.836;-2.811
-78.867;-2.775
-78.854;-2.736
-78.826;-2.746
-78.828;-2.766
-78.84;-2.737
-78.87;-2.731
-78.841;-2.729
-78.858;-2.75
-78.872;-2.703
-78.82;-2.752
-78.847;-2.718
-78.847;-2.718
-78.846;-2.718
-78.847;-2.718
-78.854;-2.743
-78.848;-2.744
-78.801;-2.74
-78.815;-2.728
-78.863;-2.711
-78.848;-2.74
-78.853;-2.725
-78.82;-2.665
-78.805;-2.654
-78.856;-2.784
-78.789;-2.667
-78.802;-2.673
-78.845;-2.707
-78.845;-2.707
-78.842;-2.667
-78.825;-2.744
-78.845;-2.77
-78.807;-2.702
-78.82;-2.628
-78.825;-2.747
-78.852;-2.758
-78.859;-2.718
-78.833;-2.686
-78.797;-2.753
-78.862;-2.705
-78.813;-2.634
-78.854;-2.709
-78.847;-2.742
-78.636;-2.616
-78.563;-2.537
-78.684;-2.621
-78.634;-2.57
-78.655;-2.64
-78.639;-2.573
-78.653;-2.565
-78.666;-2.548
-78.764;-2.671
-78.553;-2.542
-78.621;-2.582
-78.715;-2.65
-78.679;-2.642
-78.681;-2.535
-78.64;-2.644
-78.608;-2.58
-78.67;-2.641
-78.571;-2.503
-78.711;-2.596
-78.67;-2.574
-78.67;-2.553
-78.693;-2.639
-78.848;-2.742
-78.842;-2.736
-78.847;-2.735
-78.848;-2.751
-78.847;-2.736
-78.848;-2.737
-78.849;-2.749
-78.848;-2.741
-78.869;-2.8
-78.848;-2.737
-78.846;-2.74
-78.849;-2.741
-78.85;-2.742
-78.85;-2.742
-78.848;-2.738
-78.848;-2.738
-78.847;-2.738
-78.847;-2.74
-78.846;-2.74
-78.846;-2.741
-78.848;-2.738
-78.848;-2.738
-78.849;-2.737
-78.851;-2.747
-78.845;-2.752
-78.848;-2.744
-78.851;-2.745
-78.851;-2.741
-78.847;-2.738
-78.849;-2.741
-78.851;-2.747
-78.847;-2.738
-78.9;-2.828
-78.848;-2.737
-78.878;-2.836
-78.88;-2.764
-78.884;-2.792
-78.848;-2.739
-78.846;-2.741
-78.846;-2.737
-78.846;-2.737
-78.842;-2.729
-78.681;-2.532
-78.833;-2.73
-78.843;-2.741
-78.817;-2.737
-78.848;-2.743
-78.868;-2.774
-78.873;-2.757
-78.89;-2.746
-78.849;-2.77
-78.868;-2.798
-78.835;-2.812
-78.845;-2.8
-78.856;-2.784
-78.853;-2.758
-78.857;-2.778
-78.891;-2.801
-78.886;-2.799
-78.669;-2.64
-78.668;-2.63
-78.844;-2.736
-78.837;-2.757
-78.829;-2.751
-78.823;-2.682
-78.839;-2.69
-78.801;-2.674
-78.819;-2.665
-78.805;-2.654
-78.872;-2.765
-78.823;-2.719
-78.773;-2.604
-78.722;-2.597
-78.711;-2.596
-78.634;-2.62
-78.636;-2.614
-78.701;-2.637
-78.877;-2.737
-78.857;-2.744
-78.896;-2.834
-78.858;-2.726
-78.852;-2.749
-78.859;-2.755
-78.847;-2.738
-78.884;-2.759
-78.829;-2.728
-78.85;-2.715
-78.848;-2.754
-78.684;-2.621
-78.825;-2.744
-78.812;-2.733
-78.816;-2.726
-78.848;-2.769
-78.65;-2.577
-78.845;-2.796
-78.838;-2.792
-78.83;-2.803
-78.845;-2.817
-78.863;-2.821
-78.86;-2.799
-78.853;-2.801
-78.845;-2.785
-78.85;-2.791
-78.853;-2.709
-78.826;-2.739
-78.886;-2.748
-78.812;-2.743
-78.856;-2.728
-78.862;-2.713
-78.855;-2.726
-78.847;-2.735
-78.907;-2.815
-78.915;-2.812
-78.848;-2.77
-78.851;-2.736
-78.851;-2.736
-78.876;-2.736
-78.871;-2.801
-78.846;-2.744
-78.855;-2.718
-78.832;-2.731
-78.845;-2.737
-78.863;-2.713
-78.84;-2.727
-78.785;-2.665
-78.86;-2.749
-78.844;-2.741
-78.888;-2.76
-78.842;-2.701
-78.841;-2.69
-78.834;-2.752
-78.847;-2.748
-78.828;-2.722
-78.835;-2.734
-78.863;-2.772
-78.846;-2.739
-78.847;-2.738
-78.839;-2.756
-78.881;-2.787
-78.84;-2.729
-78.847;-2.74
-78.851;-2.745
-78.841;-2.727
-78.846;-2.738
-78.841;-2.742
-78.85;-2.71
-78.867;-2.724
-78.849;-2.773
-78.848;-2.738
-78.872;-2.805
-78.85;-2.748
-78.848;-2.751
-78.849;-2.749
-78.851;-2.736
-78.841;-2.727
-78.843;-2.734
-78.848;-2.751
-78.869;-2.798
-78.822;-2.742
-78.848;-2.745
-78.848;-2.745
-78.871;-2.795
-78.888;-2.82
-78.873;-2.791
-78.844;-2.773
-78.847;-2.739
-78.837;-2.754
-78.847;-2.713
-78.817;-2.738
-78.846;-2.742
-78.843;-2.753
-78.847;-2.738
-78.846;-2.74
-78.846;-2.749
-78.85;-2.779
-78.847;-2.738
-78.848;-2.741
-78.845;-2.752
-78.848;-2.746
-78.847;-2.74
-78.846;-2.742
-78.848;-2.738
-78.847;-2.739
-78.846;-2.742
-78.846;-2.742
-78.847;-2.74
-78.851;-2.739
-78.839;-2.735
-78.843;-2.733
-78.848;-2.719
-78.889;-2.76
-78.888;-2.76
-78.846;-2.752
-78.853;-2.739
-78.848;-2.751
-78.849;-2.743
-78.847;-2.739
-78.847;-2.743
-78.868;-2.798
-78.84;-2.74
-78.871;-2.805
-78.871;-2.804
